Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,relPop,relPopEarly,relPopChange,closeMonth,closeYear
andy warhol ,1928,1987,59,0,Mao,0,USD,94500.0,56250.0,75000.0,1,1,0,24,Prints and Multiples,,,,03,22
howard hodgkin ,1932,0,90,1,Monsoon (Heenk 79),0,USD,10156.25,3750.0,5000.0,1,1,0,27,FIRST OPEN | EDITIONS,,,,10,16
louise j. rayner ,1832,1924,92,0,"Horse-drawn carriages and figures before Temple Bar, London",0,USD,9375.0,7500.0,10000.0,1,0,(35.6 x 25.4 cm.),03,THE LONDON SALE,,,,09,12
yves laloy ,1920,1999,79,0,B10,0,USD,7612.5,3150.0,5250.0,1,1,(25 ½ x 36 ¼ in.),08,"POST-WAR AND CONTEMPORARY ART PARIS, DAY SALE",,,,06,18
fernand léger ,1881,1955,74,0,Nu,1910,USD,11718.75,6250.0,8750.0,1,1,(32.5 x 25 cm.),19,IMPRESSIONIST AND MODERN WORKS ON PAPER,,,,06,19
marthe wery ,1930,2005,75,0,Dessin Ligné (Lined Drawing),1975,USD,34375.0,1250.0,2500.0,1,1,(110.5 x 73.5 cm),07,POST-WAR & CONTEMPORARY ART DAY AUCTION,,,,10,16
francis bacon ,1909,1992,83,0,Head with Raised Arm,1955,USD,14354687.5,8750000.0,12500000.0,1,1,(61 x 50.7cm.),06,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,,,,10,17
percy wyndham lewis ,1882,1957,75,0,Head of Ezra Pound,1939,USD,29687.5,12500.0,18750.0,1,1,(29.5 x 22.5 cm.),20,MODERN BRITISH ART DAY SALE,,,,06,18
rómulo macció ,1931,2016,85,0,Por fuera y por dentro,1964,USD,16250.0,15000.0,20000.0,1,0,(65 x 91.4 cm.),18,Latin American Art Online,,,,02,22
kurt schwitters ,1887,1948,61,0,"Ohne Titel (20 ØRE, mit Koranseiten)",1936,USD,25000.0,20000.0,30000.0,1,0,(14.4 x 11.5 cm.),06,IMPRESSIONIST AND MODERN WORKS ON PAPER,,,,02,20
hurvin anderson ,1965,0,57,1,Country Club: Chicken Wire,2008,USD,3310937.5,875000.0,1250000.0,1,1,(240 x 347.3cm.),06,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,,,,10,17
norman rockwell ,1894,1978,84,0,The Rookie (Red Sox Locker Room),1957,USD,22565000.0,20000000.0,30000000.0,1,0,(104.1 x 99 cm.),22,AMERICAN ART,,,,05,14
sophie anderson ,1823,1903,80,0,Best friends,0,USD,7031.25,6250.0,8750.0,1,0,(25.4 x 30.5 cm.),03,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART; MARITIME ART; SPORTING & WILDLIFE ART",,,,12,15
max ernst ,1891,1976,85,0,Initiale M,1965,USD,4062.5,3125.0,4375.0,1,0,(26.7 x 20.9 cm.),27,IMPRESSIONIST/MODERN ART,,,,06,14
wolfgang tillmans ,1968,0,54,1,"Lighter, blue concave, a",2012,USD,37500.0,30000.0,50000.0,1,0,(64.8 x 54.3 x 12.7 cm.),12,Virtue,,,,06,20
peter granser ,1971,0,51,1,Front Garden 3 (Sun City),2001,USD,1050.0,420.0,630.0,1,1,0,25,The Curator’s Eye: The Collection of Professor Dr Karin von Maur,,,,05,21
shusaku arakawa ,1936,2010,74,0,Morning Picture / Portrait of a Civilisation,1969,USD,62500.0,12500.0,18750.0,1,1,(122.5 x 183.1cm.),14,FIRST OPEN | LONDON,,,,04,16
antonio seguí ,1934,0,88,1,Paseando a Boby,1991,USD,17500.0,12000.0,18000.0,1,0,(45.7 x 54.9 cm.),30,Latin American Art Online,,,,05,18
bernard buffet ,1928,1999,71,0,Chevalier d'Henri III,1998,USD,121562.5,100000.0,150000.0,1,0,(130.7 x 89.5 cm.),21,IMPRESSIONIST/MODERN DAY SALE,,,,06,12
john william waterhouse,1849,1917,68,0,Flora,0,USD,625937.5,187500.0,312500.0,1,1,(59 x 45.7 cm.),11,VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART,,,,07,18
raoul dufy ,1877,1953,76,0,Grand orchestre,0,USD,396250.0,187500.0,250000.0,1,1,(50 x 61 cm.),01,IMPRESSIONIST AND MODERN ART DAY SALE,,,,03,17
sir william russell flint.,1880,1969,89,0,A reclining female nude,0,USD,1406.25,1250.0,1875.0,1,0,(19.7 x 28 cm.),12,VICTORIAN & BRITISH IMPRESSIONIST ART,,,,07,12
kurt schwitters ,1887,1948,61,0,Corned Beef,1946,USD,75000.0,62500.0,100000.0,1,0,(21 x 17.8 cm.),05,IMPRESSIONIST/MODERN WORKS ON PAPER,,,,02,14
pierre bonnard ,1867,1947,80,0,Revue Blanche (Bouvet 30); Programme pour Lisez la Revue Blanche et une Nuit d'Avril à Creos (Roger Marx 22),0,USD,2362.5,1890.0,3150.0,1,0,"(31,5 x 24,4 in.)",09,RENDEZ-VOUS - INTÉRIEURS CONTEMPORAINS,,,,10,13
günther förg ,1952,2013,61,0,Untitled,1988,USD,554062.5,187500.0,250000.0,1,1,(180 x 120cm.),07,POST-WAR AND CONTEMPORARY ART DAY AUCTION,,,,03,19
francis picabia ,1878,1953,75,0,Le couple,0,USD,12500.0,8750.0,12500.0,1,1,(27 x 35.9 cm.),07,IMPRESSIONIST/MODERN ART & PICASSO CERAMICS,,,,02,14
thomas sidney cooper,1803,1902,99,0,Cattle by a river,0,USD,21875.0,18750.0,25000.0,1,0,(71.1 x 106.7 cm.),11,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",,,,12,14
victor pasmore,1908,1998,90,0,"Abstract in White, Black and Maroon",1956,USD,46875.0,25000.0,37500.0,1,1,(68.5 x 82 x 10.2 cm.),11,MODERN BRITISH ART DAY SALE,,,,07,13
pablo picasso ,1881,1973,92,0,Yan visage (A.R. 512),0,USD,10000.0,4000.0,6000.0,1,1,0,15,Picasso Ceramics,,,,11,17
henry moret ,1856,1913,57,0,"Bateaux de pêche, Audierne",1906,USD,54687.5,37500.0,62500.0,1,0,(54.2 x 81.2 cm.),23,IMPRESSIONIST & MODERN ART DAY SALE,,,,06,16
barbara hepworth ,1903,1975,72,0,Five Forms with Three Circles,1966,USD,462500.0,400000.0,600000.0,1,0,0,03,"POST-WAR & CONTEMPORARY ART DAY SALE, FEATURING THE COLLECTION OF MORTON AND BARBARA MANDEL",,,,12,20
roger brown ,1941,1997,56,0,Virtual Still Life #10: Nemadji Earth Potter Framed in Candy Apple Red,0,USD,6000.0,4000.0,6000.0,1,1,(33.9 x 33.9 x 22.5 cm.),06,FIRST OPEN/NYC,,,,03,15
john nost sartorius ,1755,1828,73,0,Over the gate,0,USD,2968.75,1875.0,2500.0,1,1,(23 x 30.5 cm.),05,SPORTING AND WILDLIFE ART,,,,06,13
jean dubuffet ,1901,1985,84,0,Escalier,0,USD,70875.0,63000.0,84000.0,1,0,(36 ¼ x 14 ¼ in.),10,ART CONTEMPORAIN VENTE DU JOUR,,,,06,16
balthus ,1908,2001,93,0,Jeune fille assise,1949,USD,31250.0,31250.0,43750.0,1,-1,(31 x 42.2 cm.),23,IMPRESSIONIST & MODERN ART WORKS ON PAPER,,,,06,16
franz kline ,1910,1962,52,0,Untitled,1961,USD,112500.0,120000.0,180000.0,1,-1,(33.7 x 27 cm.),14,POST-WAR AND CONTEMPORARY ART MORNING SESSION,,,,11,19
aaron siskind ,1903,1956,53,0,"Pleasures and Terrors of Levitation Nos. 37, 48, 60, 1953-1956",0,USD,6000.0,8000.0,12000.0,1,-1,(25.4 x 24.1 cm.),14,The Unseen Eye: Photographs from the W.M. Hunt Collection,,,,10,20
john leslie breck ,1860,1899,39,0,Venice,1897,USD,20000.0,20000.0,30000.0,1,-1,(25.4 x 35.2 cm.),22,American Art Online,,,,05,18
pablo picasso ,1881,1973,92,0,Nature morte à la bouteille,1908,USD,197000.0,100000.0,150000.0,1,1,(31.5 x 22 cm.),05,A DIALOGUE THROUGH ART: WORKS FROM THE JAN KRUGIER COLLECTION DAY SALE,,,,11,13
howard hodgkin ,1932,2017,85,0,IMAX Cinema,1999,USD,0.0,31250.0,43750.0,0,-1,(33 x 152.4 cm.),23,MODERN BRITISH AND IRISH ART DAY SALE,,,,03,22
